【合租】物资学院路 天赐良园东区 3室主卧,天赐良园东区,2350,http://bj.58.com/pinpaigongyu/31796342202306x.shtml?psid=195919174197712490083895830
【合租】十里堡 都会华庭 4室主卧,都会华庭,2150,http://bj.58.com/pinpaigongyu/31796718846287x.shtml?psid=195919174197712490083895830
【整租】青塔 乐乎青年公寓 1室1厅,青塔,2999,http://bj.58.com/pinpaigongyu/31761856219196x.shtml?psid=195919174197712490083895830
【整租】立水桥 乐乎城市青年社区 1室1厅,立水桥,2999,http://bj.58.com/pinpaigongyu/31662097106473x.shtml?psid=195919174197712490083895830
【合租】物资学院路 天赐良园东区 3室主卧,天赐良园东区,2280,http://bj.58.com/pinpaigongyu/31796354193980x.shtml?psid=195919174197712490083895830
【合租】后沙峪 蓝庭苑 3室主卧,蓝庭苑,2700,http://bj.58.com/pinpaigongyu/31530469091147x.shtml?psid=195919174197712490083895830
【整租】亦庄 青年公寓 1室1厅,亦庄,2700,http://bj.58.com/pinpaigongyu/31781722924237x.shtml?psid=195919174197712490083895830
【整租】青塔 乐乎城市青年社区 1室1厅,青塔,3000,http://bj.58.com/pinpaigongyu/31639565441987x.shtml?psid=195919174197712490083895830
【合租】定福庄 定福家园北里 3室主卧,定福家园北里,2130,http://bj.58.com/pinpaigongyu/31495953661484x.shtml?psid=195919174197712490083895830
【合租】双桥 北花园小区(6号 3室次卧,北花园小区(6号,2480,http://bj.58.com/pinpaigongyu/31574007411912x.shtml?psid=195919174197712490083895830
【合租】朝青板块 青年汇佳园 3室主卧,青年汇佳园,2740,http://bj.58.com/pinpaigongyu/31616540153525x.shtml?psid=195919174197712490083895830
【整租】远江公寓 运河大街 运河大街店,运河大街,2880-3480,http://bj.58.com/pinpaigongyu/31497333441835x.shtml?psid=195919174197712490083895830
【合租】老山 老山西里 2室次卧,老山西里,2400,http://bj.58.com/pinpaigongyu/31327821442093x.shtml?psid=195919174197712490083895830
【合租】常营 常营民族家园 3室主卧,常营民族家园,2070,http://bj.58.com/pinpaigongyu/31549655749569x.shtml?psid=195919174197712490083895830
【整租】潘家园 海纳公寓 1室0厅,潘家园,3000,http://bj.58.com/pinpaigongyu/31750493763389x.shtml?psid=195919174197712490083895830
【整租】窝趣 高碑店 窝趣北京高碑店,高碑店,2600-2900,http://bj.58.com/pinpaigongyu/31497421017151x.shtml?psid=195919174197712490083895830
【合租】高碑店 白家楼 3室主卧,白家楼,2710,http://bj.58.com/pinpaigongyu/31649170676138x.shtml?psid=195919174197712490083895830
【合租】国贸 十里河公寓 1室主卧,国贸,2800,http://bj.58.com/pinpaigongyu/31752588806470x.shtml?psid=195919174197712490083895830
【合租】朝青板块 国美第一城2号院 3室主卧,国美第一城2号院,2710,http://bj.58.com/pinpaigongyu/31637967774410x.shtml?psid=195919174197712490083895830
【整租】十里河 海纳公寓 1室0厅,十里河,3000,http://bj.58.com/pinpaigongyu/31752603584834x.shtml?psid=195919174197712490083895830
【合租】双桥 北花园小区(6号 3室次卧,北花园小区(6号,2480,http://bj.58.com/pinpaigongyu/31574007411912x.shtml?psid=129210339197712490141779101
【合租】天通苑 天通苑西一区 4室次卧,天通苑西一区,2290,http://bj.58.com/pinpaigongyu/31796378683441x.shtml?psid=129210339197712490141779101
【合租】四惠 东区国际公寓 4室主卧,四惠,2650,http://bj.58.com/pinpaigongyu/31796688841411x.shtml?psid=129210339197712490141779101
【合租】孙河 康营家园24期 3室主卧,康营家园24期,2480,http://bj.58.com/pinpaigongyu/31416436117454x.shtml?psid=129210339197712490141779101
【整租】沙河 巩华家园南一村 1室1厅,巩华家园南一村,2800,http://bj.58.com/pinpaigongyu/31774971574830x.shtml?psid=129210339197712490141779101
【整租】通州北苑 乐乎城市青年社区 1室1厅,通州北苑,2200,http://bj.58.com/pinpaigongyu/31461964098731x.shtml?psid=129210339197712490141779101
【合租】朝阳周边 京旺家园七区 3室主卧,京旺家园七区,2100,http://bj.58.com/pinpaigongyu/30644524891835x.shtml?psid=129210339197712490141779101
【整租】青塔 乐乎城市青年社区 1室1厅,青塔,2999,http://bj.58.com/pinpaigongyu/31428443883338x.shtml?psid=129210339197712490141779101
【合租】孙河 康营家园15期 3室次卧,康营家园15期,2180,http://bj.58.com/pinpaigongyu/31559618714559x.shtml?psid=129210339197712490141779101
【合租】北苑 北京城建世华泊郡 3室次卧,北京城建世华泊郡,2390,http://bj.58.com/pinpaigongyu/31574027136325x.shtml?psid=129210339197712490141779101
【合租】常营 常营民族家园 3室主卧,常营民族家园,2210,http://bj.58.com/pinpaigongyu/31549653184460x.shtml?psid=129210339197712490141779101
【整租】青遇home 高碑店 柒號大厦,高碑店,3000-3300,http://bj.58.com/pinpaigongyu/31773820397895x.shtml?psid=129210339197712490141779101
【合租】双桥 康惠园三号院 2室主卧,康惠园三号院,2780,http://bj.58.com/pinpaigongyu/31374091133881x.shtml?psid=129210339197712490141779101
【合租】华威桥 十里河公寓 1室主卧,华威桥,3000,http://bj.58.com/pinpaigongyu/31750534062255x.shtml?psid=129210339197712490141779101
【合租】欢乐谷 紫南家园北区 3室主卧,紫南家园北区,2650,http://bj.58.com/pinpaigongyu/31527256859692x.shtml?psid=129210339197712490141779101
【整租】乐乎公寓 百子湾 南花园店,百子湾,2300-2800,http://bj.58.com/pinpaigongyu/31497248866505x.shtml?psid=129210339197712490141779101
【合租】常营 连心园 3室主卧,连心园,2810,http://bj.58.com/pinpaigongyu/31752163108417x.shtml?psid=129210339197712490141779101
【整租】宋家庄 海纳公寓 1室0厅,宋家庄,2600,http://bj.58.com/pinpaigongyu/31752559561552x.shtml?psid=129210339197712490141779101
【合租】石佛营 晨光家园C区 3室主卧,晨光家园C区,2760,http://bj.58.com/pinpaigongyu/31615840609472x.shtml?psid=129210339197712490141779101
【整租】十里河 十里河公寓 1室0厅,十里河,3000,http://bj.58.com/pinpaigongyu/31752649821116x.shtml?psid=129210339197712490141779101
【合租】北苑 北京城建世华泊郡 3室次卧,北京城建世华泊郡,2390,http://bj.58.com/pinpaigongyu/31574027136325x.shtml?psid=191881180197712490458016628
【整租】总部基地 乐乎城市青年社区 1室1厅,总部基地,2100,http://bj.58.com/pinpaigongyu/31496714298304x.shtml?psid=191881180197712490458016628
【合租】孙河 康营家园17期 3室次卧,康营家园17期,2080,http://bj.58.com/pinpaigongyu/31596298878515x.shtml?psid=191881180197712490458016628
【合租】国贸 盛世嘉园 3室主卧,盛世嘉园,2890,http://bj.58.com/pinpaigongyu/31715151771460x.shtml?psid=191881180197712490458016628
【合租】角门 角门东里小区 3室主卧,角门东里小区,2500,http://bj.58.com/pinpaigongyu/31704584235202x.shtml?psid=191881180197712490458016628
【合租】芍药居 芍药居甲2号院 3室主卧,芍药居甲2号院,3000,http://bj.58.com/pinpaigongyu/31717120835129x.shtml?psid=191881180197712490458016628
【整租】花乡 乐乎城市青年社区 1室1厅,花乡,2700,http://bj.58.com/pinpaigongyu/31542112065344x.shtml?psid=191881180197712490458016628
【合租】双井 石韵浩庭 3室主卧,石韵浩庭,2350,http://bj.58.com/pinpaigongyu/31715558577713x.shtml?psid=191881180197712490458016628
